Team,Pass Att,Cmp,Cmp %,Yds/Att,Pass Yds,Pass TD,INT,Rush Att,Rush Yds,Yds/Crry,Rush TD,Total Yds,Total TD,Year
Commanders,636,407,64,6.6,4174,24,21,359,1592,4.4,14,5766,38,2023
Chiefs,635,421,66.3,6.9,4383,28,17,417,1784,4.3,9,6167,37,2023
Chargers,632,409,64.7,6.8,4312,24,8,431,1642,3.8,11,5954,35,2023
Vikings,631,424,67.2,7.4,4700,30,19,393,1553,4,7,6253,37,2023
Browns,624,355,56.9,6.4,4011,24,23,518,2017,3.9,15,6028,39,2023
Jaguars,620,412,66.4,7.1,4377,22,14,453,1646,3.6,17,6023,39,2023
Bengals,615,420,68.3,6.9,4257,27,14,383,1527,4,12,5784,39,2023
Cowboys,614,428,69.7,7.6,4660,36,10,468,1920,4.1,14,6580,50,2023
Lions,606,408,67.3,7.6,4606,30,12,500,2311,4.6,27,6917,57,2023
Saints,606,406,67,7,4225,28,11,480,1742,3.6,13,5967,41,2023
Jets,601,356,59.2,5.6,3373,11,15,388,1647,4.2,7,5020,18,2023
Texans,592,372,62.8,7.7,4578,27,8,444,1647,3.7,10,6225,37,2023
Panthers,586,350,59.7,5.5,3245,13,10,445,1769,4,7,5014,20,2023
Rams,583,361,61.9,7.4,4300,26,13,477,2045,4.3,18,6345,44,2023
Packers,581,374,64.4,7.2,4210,32,11,441,1905,4.3,10,6115,42,2023
Bills,579,385,66.5,7.4,4306,29,18,512,2212,4.3,22,6518,51,2023
Seahawks,575,371,64.5,7.2,4167,23,12,382,1580,4.1,11,5747,34,2023
Colts,574,355,61.8,6.8,3882,18,10,479,2059,4.3,19,5941,37,2023
Buccaneers,568,364,64.1,7.1,4044,28,10,439,1509,3.4,8,5553,36,2023
Dolphins,566,393,69.4,8.3,4698,30,15,456,2308,5.1,27,7006,57,2023
Eagles,563,369,65.5,7.2,4067,24,16,510,2190,4.3,22,6257,46,2023
Raiders,557,348,62.5,6.6,3666,20,18,413,1542,3.7,11,5208,31,2023
Patriots,557,351,63,6.1,3392,16,21,415,1627,3.9,9,5019,25,2023
Cardinals,555,355,64,6.2,3430,18,12,471,2365,5,17,5795,35,2023
Falcons,530,327,61.7,7.1,3775,17,17,522,2159,4.1,14,5934,31,2023
Giants,518,338,65.2,6.5,3351,15,12,454,1874,4.1,10,5225,25,2023
Bears,513,321,62.6,6.7,3421,19,15,534,2399,4.5,16,5820,35,2023
Broncos,513,337,65.7,7,3566,28,9,451,1810,4,8,5376,36,2023
Steelers,506,323,63.8,6.8,3421,13,9,487,2010,4.1,16,5431,29,2023
Ravens,494,328,66.4,7.9,3881,27,7,541,2661,4.9,26,6542,53,2023
Titans,494,304,61.5,7.1,3512,14,11,444,1846,4.2,16,5358,30,2023
49ers,491,336,68.4,9.3,4577,33,12,499,2389,4.8,27,6966,60,2023
Buccaneers,751,499,66.4,6.3,4746,26,10,386,1308,3.4,5,6054,31,2022
Chargers,711,485,68.2,6.7,4791,26,10,404,1524,3.8,15,6315,41,2022
Vikings,672,448,66.7,7.2,4818,30,15,404,1661,4.1,18,6479,48,2022
Cardinals,664,433,65.2,6,3966,17,17,434,1873,4.3,15,5839,32,2022
Chiefs,651,435,66.8,8.1,5250,41,12,417,1970,4.7,18,7220,59,2022
Jets,627,357,56.9,6.4,4040,15,14,405,1686,4.2,13,5726,28,2022
Bengals,610,418,68.5,7.4,4520,35,12,399,1528,3.8,14,6048,49,2022
Colts,604,398,65.9,6.4,3854,17,20,439,1866,4.2,8,5720,25,2022
Jaguars,596,394,66.1,7,4148,25,9,448,2116,4.7,16,6264,41,2022
Lions,588,383,65.1,7.6,4444,29,7,480,2179,4.5,23,6623,52,2022
Raiders,586,359,61.3,7.1,4182,28,17,428,2059,4.8,12,6241,40,2022
Dolphins,584,368,63,8.2,4765,30,15,390,1686,4.3,12,6451,42,2022
Texans,579,352,60.8,6.3,3642,20,19,398,1476,3.7,7,5118,27,2022
Bills,574,361,62.9,7.5,4291,35,14,430,2232,5.2,15,6523,50,2022
Seahawks,573,399,69.6,7.5,4282,30,12,425,2042,4.8,12,6324,42,2022
Broncos,571,345,60.4,7,4007,18,15,444,1935,4.4,11,5942,29,2022
Steelers,571,364,63.8,6.4,3661,12,14,500,2073,4.2,16,5734,28,2022
Packers,563,364,64.6,6.9,3890,27,12,456,2113,4.6,12,6003,39,2022
Cowboys,556,355,63.8,7,3911,28,18,531,2298,4.3,24,6209,52,2022
Commanders,554,344,62.1,6.8,3783,24,16,538,2143,4,9,5926,33,2022
Browns,540,335,62,6.9,3710,19,12,532,2490,4.7,19,6200,38,2022
Patriots,540,358,66.3,7.1,3815,19,14,425,1812,4.3,12,5627,31,2022
Eagles,536,350,65.3,8.1,4364,25,9,544,2509,4.6,32,6873,57,2022
Rams,531,347,65.4,6.6,3506,16,15,411,1661,4,15,5167,31,2022
Giants,520,346,66.5,6.6,3431,17,6,520,2519,4.8,21,5950,38,2022
Saints,512,338,66,7.8,3969,24,14,465,1982,4.3,12,5951,36,2022
49ers,512,338,66,7.9,4049,30,9,504,2360,4.7,20,6409,50,2022
Ravens,488,300,61.5,6.6,3202,19,13,526,2720,5.2,14,5922,33,2022
Panthers,457,267,58.4,7.1,3246,16,13,483,2210,4.6,16,5456,32,2022
Titans,456,285,62.5,7.1,3227,16,11,487,2131,4.4,16,5358,32,2022
Falcons,415,257,61.9,7,2927,17,9,559,2718,4.9,17,5645,34,2022
Bears,377,223,59.2,6.9,2598,19,15,558,3014,5.4,18,5612,37,2022
Buccaneers,731,492,67.3,7.4,5383,43,12,385,1672,4.3,18,7055,61,2021
Chiefs,675,448,66.4,7.3,4937,37,13,431,1955,4.5,16,6892,53,2021
Chargers,674,443,65.7,7.4,5014,38,15,423,1834,4.3,18,6848,56,2021
Steelers,664,425,64,6,4017,23,11,411,1583,3.8,10,5600,33,2021
Bills,655,415,63.4,6.8,4450,36,16,461,2209,4.8,20,6659,56,2021
Cowboys,647,444,68.6,7.7,4963,40,11,473,2119,4.5,15,7082,55,2021
Raiders,628,429,68.3,7.7,4808,23,14,414,1617,3.9,14,6425,37,2021
Dolphins,615,404,65.7,6.4,3936,21,14,442,1568,3.6,12,5504,33,2021
Ravens,611,396,64.8,7,4267,21,18,517,2479,4.8,18,6746,39,2021
Rams,607,406,66.9,8.1,4893,41,18,420,1683,4,10,6576,51,2021
Jaguars,604,361,59.8,6.1,3674,12,17,392,1755,4.5,13,5429,25,2021
Vikings,604,398,65.9,7.4,4450,34,7,449,1930,4.3,10,6380,44,2021
Jets,603,357,59.2,6.6,3959,20,20,380,1667,4.4,14,5626,34,2021
Panthers,599,348,58.1,6,3573,14,21,455,1842,4,17,5415,31,2021
Lions,593,396,66.8,6.6,3884,23,14,427,1886,4.4,12,5770,35,2021
Packers,593,402,67.8,7.6,4526,39,7,446,1900,4.3,13,6426,52,2021
Giants,593,351,59.2,5.8,3463,15,20,419,1688,4,8,5151,23,2021
Cardinals,591,415,70.2,7.8,4619,27,11,496,2076,4.2,23,6695,50,2021
Falcons,573,377,65.8,7,3987,20,15,393,1451,3.7,11,5438,31,2021
Bengals,555,384,69.2,8.7,4806,36,14,436,1742,4,16,6548,52,2021
Football Team,550,356,64.7,6.8,3746,21,15,477,2061,4.3,13,5807,34,2021
Texans,546,354,64.8,6.6,3630,21,15,420,1422,3.4,8,5052,29,2021
Bears,542,332,61.2,6.7,3635,16,20,475,2018,4.2,14,5653,30,2021
Broncos,541,354,65.4,7.1,3856,20,9,455,2025,4.4,16,5881,36,2021
Titans,535,359,67.1,7,3745,22,14,551,2404,4.4,23,6149,45,2021
Patriots,535,364,68,7.7,4098,24,13,489,2151,4.4,24,6249,48,2021
Colts,521,324,62.2,6.9,3588,27,8,499,2540,5.1,22,6128,49,2021
Browns,520,320,61.5,7,3619,21,14,485,2471,5.1,20,6090,41,2021
49ers,514,343,66.7,8.6,4437,26,14,499,2166,4.3,22,6603,48,2021
Saints,504,293,58.1,6.8,3437,29,13,510,1991,3.9,12,5428,41,2021
Seahawks,495,324,65.4,7.7,3815,30,7,413,2074,5,18,5889,48,2021
Eagles,494,307,62.2,7.3,3585,20,10,550,2715,4.9,25,6300,45,2021
Steelers,656,428,65.2,6.3,4129,35,11,373,1351,3.6,12,5480,47,2020
Cowboys,639,413,64.6,7.1,4511,25,13,430,1788,4.2,14,6299,39,2020
Chiefs,630,420,66.7,7.9,5005,40,7,403,1799,4.5,13,6804,53,2020
Falcons,628,408,65,7.4,4620,27,11,409,1532,3.8,13,6152,40,2020
Chargers,627,413,65.9,7.2,4548,31,10,466,1784,3.8,12,6332,43,2020
Buccaneers,626,410,65.5,7.6,4776,42,12,369,1519,4.1,16,6295,58,2020
Jaguars,616,387,62.8,6.4,3955,25,16,337,1519,4.5,9,5474,34,2020
Bears,614,402,65.5,6.4,3925,26,16,393,1647,4.2,12,5572,38,2020
Football Team,601,389,64.7,6.3,3796,16,16,400,1611,4,18,5407,34,2020
Eagles,598,334,55.8,6.2,3728,22,20,403,2027,5,16,5755,38,2020
Bills,596,410,68.8,8,4786,40,11,411,1723,4.2,16,6509,56,2020
Rams,590,392,66.4,7.1,4183,20,14,473,2018,4.3,19,6201,39,2020
Lions,582,374,64.3,7.6,4397,27,13,367,1499,4.1,17,5896,44,2020
Bengals,581,372,64,6.5,3793,19,11,411,1668,4.1,13,5461,32,2020
Cardinals,575,387,67.3,7.1,4102,27,13,479,2237,4.7,22,6339,49,2020
49ers,570,371,65.1,7.6,4320,25,17,437,1889,4.3,19,6209,44,2020
Seahawks,563,388,68.9,7.5,4245,40,13,411,1971,4.8,15,6216,55,2020
Dolphins,559,370,66.2,7,3937,24,13,428,1688,3.9,15,5625,39,2020
Broncos,556,317,57,6.6,3673,21,23,442,1918,4.3,13,5591,34,2020
Colts,552,371,67.2,7.6,4186,24,11,459,1996,4.4,20,6182,44,2020
Raiders,551,369,67,8,4383,28,10,457,1916,4.2,20,6299,48,2020
Panthers,550,373,67.8,7.5,4129,16,16,407,1704,4.2,19,5833,35,2020
Texans,546,383,70.2,8.9,4843,33,7,344,1466,4.3,10,6309,43,2020
Packers,526,372,70.7,8.2,4299,48,5,443,2118,4.8,16,6417,64,2020
Saints,522,370,70.9,7.6,3945,28,8,494,2265,4.6,30,6210,58,2020
Giants,517,321,62.1,6.4,3336,12,11,399,1768,4.4,13,5104,25,2020
Vikings,516,349,67.6,8.3,4265,35,13,468,2283,4.9,20,6548,55,2020
Browns,501,315,62.9,7.4,3701,27,8,495,2374,4.8,21,6075,48,2020
Jets,499,292,58.5,6.2,3115,16,14,406,1683,4.2,9,4798,25,2020
Titans,485,316,65.2,7.9,3826,33,7,521,2690,5.2,26,6516,59,2020
Patriots,440,283,64.3,7.1,3124,12,14,502,2346,4.7,20,5470,32,2020
Ravens,406,257,63.3,7.2,2919,27,11,555,3071,5.5,24,5990,51,2020
Falcons,684,459,67.1,7.4,5049,29,15,362,1361,3.8,10,6410,39,2019
Panthers,633,382,60.4,6.5,4134,17,21,386,1819,4.7,20,5953,37,2019
Rams,632,397,62.8,7.4,4669,22,17,401,1499,3.7,20,6168,42,2019
Buccaneers,630,382,60.6,8.1,5127,33,30,409,1521,3.7,15,6648,48,2019
Patriots,620,378,61,6.7,4153,25,9,447,1703,3.8,17,5856,42,2019
Bengals,616,356,57.8,6.5,3994,18,16,385,1517,3.9,9,5511,27,2019
Dolphins,615,371,60.3,6.7,4117,22,18,349,1156,3.3,10,5273,32,2019
Eagles,613,391,63.8,6.6,4063,27,8,454,1939,4.3,16,6002,43,2019
Giants,607,376,61.9,6.7,4070,30,17,362,1685,4.6,11,5755,41,2019
Cowboys,597,388,65,8.2,4902,30,11,449,2153,4.8,18,7055,48,2019
Chargers,597,394,66,7.8,4648,24,20,366,1453,4,12,6101,36,2019
Jaguars,589,364,61.8,6.8,4023,24,8,389,1708,4.4,3,5731,27,2019
Saints,581,418,71.9,7.6,4431,36,6,405,1738,4.3,12,6169,48,2019
Bears,580,371,64,6.2,3573,20,12,395,1458,3.7,8,5031,28,2019
Chiefs,576,378,65.6,8.1,4690,30,5,375,1569,4.2,16,6259,46,2019
Packers,573,356,62.1,7,4017,26,4,411,1795,4.4,18,5812,44,2019
Lions,571,344,60.2,7.3,4187,28,15,407,1649,4,7,5836,35,2019
Cardinals,554,355,64.1,6.8,3797,20,12,396,1990,5,18,5787,38,2019
Browns,539,318,59,7.1,3847,22,21,393,1901,4.8,15,5748,37,2019
Texans,534,355,66.5,7.6,4083,27,14,434,2009,4.6,17,6092,44,2019
Raiders,523,367,70.2,7.9,4110,22,8,437,1893,4.3,13,6003,35,2019
Jets,521,323,62,6.6,3443,19,16,383,1257,3.3,6,4700,25,2019
Seahawks,517,341,66,8,4110,31,6,481,2200,4.6,15,6310,46,2019
Bills,513,299,58.3,6.8,3476,21,12,465,2054,4.4,13,5530,34,2019
Colts,513,307,59.8,6.5,3314,22,10,471,2130,4.5,17,5444,39,2019
Steelers,510,315,61.8,6.3,3214,18,19,395,1447,3.7,7,4661,25,2019
Broncos,504,312,61.9,6.8,3401,16,10,409,1662,4.1,11,5063,27,2019
Redskins,479,298,62.2,6.7,3205,18,13,356,1583,4.4,9,4788,27,2019
49ers,478,331,69.2,8.4,4029,28,13,498,2305,4.6,23,6334,51,2019
Vikings,466,319,68.4,8,3729,26,8,476,2133,4.5,19,5862,45,2019
Titans,448,297,66.3,8.8,3956,29,8,445,2223,5,21,6179,50,2019
Ravens,440,289,65.7,7.6,3350,37,8,596,3296,5.5,21,6646,58,2019
Steelers,689,459,66.6,7.5,5174,35,17,345,1445,4.2,16,6619,51,2018
Colts,644,432,67.1,7.1,4595,39,15,408,1718,4.2,13,6313,52,2018
Packers,640,392,61.2,7.2,4629,25,4,333,1667,5,14,6296,39,2018
Buccaneers,625,408,65.3,8.6,5358,36,26,389,1523,3.9,11,6881,47,2018
Falcons,617,428,69.4,8,4949,36,7,351,1573,4.5,11,6522,47,2018
Vikings,606,425,70.1,7.1,4298,30,10,357,1493,4.2,9,5791,39,2018
Eagles,599,422,70.4,7.6,4524,29,11,398,1570,3.9,12,6094,41,2018
Broncos,588,367,62.4,6.7,3930,19,15,393,1907,4.8,18,5837,37,2018
Chiefs,583,385,66,8.8,5126,50,12,387,1855,4.8,16,6981,66,2018
Giants,583,382,65.5,7.6,4405,23,12,354,1650,4.7,13,6055,36,2018
Browns,574,353,61.5,7.4,4261,29,17,411,1893,4.6,15,6154,44,2018
Lions,574,375,65.3,6.7,3844,22,12,404,1660,4.1,11,5504,33,2018
Patriots,574,378,65.8,7.7,4405,29,11,478,2037,4.3,18,6442,47,2018
Rams,568,368,64.8,8.3,4730,32,12,459,2231,4.9,23,6961,55,2018
